Symbol	Description
GAB.SI	Amova STI ETF S$A
GCDW.SI	HSI 29200MBeCW260730
GEH.SI	Goodwill
GEXS.SI	N525100T 300401
GFYW.SI	Kuaisho MB eCW261005
GKAW.SI	Alibaba 5xLongUB270630
GLJW.SI	Singtel 5xShortSG280516
GLS.SI	Lion SG Phy Gold S$
GLU.SI	Lion SG Phy Gold US$
GODW.SI	Ganfeng 3xLongSG270914
GRE.SI	UOB AP GRN REIT US$
GRN.SI	UOB AP GRN REIT S$
GRO.SI	CGS FG CSI1000 S$
GRQ.SI	UpHealth Group
GRU.SI	CGS FG CSI1000 US$
GSD.SI	GLD SG$
GSEW.SI	Keppel 5xLongSG270706
GTHW.SI	DJIA 7xLongUB271122
GTHW.SI	DJIA 7xLongUB271122
GU5.SI	ChinaKundaTech
GVPW.SI	Sunny 5xShortUB270630
H02.SI	Haw Par
H07.SI	Stamford Land
H12.SI	Hotel Royal
H13.SI	Ho Bee Land
H15.SI	HPL
H18.SI	Hotel Grand
H1N.SI	Amundi EM Mkt Sw US$
H20.SI	Hoe Leong
H22.SI	Hong Leong Asia
H30.SI	Hong Fok
H78.SI	HongkongLand USD
HBBD.SI	Alibaba HK SDR 5to1
HBIW.SI	CATL 5xShortSG280120
HBND.SI	Bank of CN HK SDR 1to1
HBUD.SI	Baidu HK SDR 10to1
HCCD.SI	CATL HK SDR 30to1
HCMD.SI	CN Mobile HK SDR 5to1
HD9.SI	XT Vietnam US$
HDKW.SI	CNOOC 5xShortUB280731
HFFW.SI	HSI 24400MBePW260528
HGMD.SI	Geely Auto HK SDR 2to1
HHZD.SI	HorizonRobo HK SDR1to1
HHZD.SI	HorizonRobo HK SDR1to1
HIPW.SI	NKY 52000MBePW260612
HIQW.SI	UOB MB eCW260730
HJDD.SI	JD HK SDR 10to1
HJLW.SI	Geely MB eCW261005
HKB.SI	AMTD IDEA OV
HKRW.SI	HSTECH 5xShortSG280330
HKUD.SI	Kuaishou HK SDR 5to1
HLPD.SI	Laopu Gld HK SDR 50to1
HLS.SI	Helens
HMAW.SI	Singtel 5xLongUB270630
HMN.SI	CapLand Ascott T
HMTD.SI	Meituan HK SDR 5to1
HPAD.SI	Ping An Ins HK SDR2to1
HPCD.SI	PetroCN HK SDR 1to2
HPMW.SI	Xiaomi 5xLongSG270216
HPPD.SI	POP MART HK SDR 20to1
HPRW.SI	CNOOC 5xShortUB270630
HQU.SI	Oiltek
HQXW.SI	IX BiopharmaW260718
HRNW.SI	HKEx 5xShortSG260908
HSAW.SI	JD MB eCW260703
HSEW.SI	HSI 23800MBeCW261029
HSHD.SI	HSBC HK SDR 5to1
HSLW.SI	Kuaisho 5xShortSG270127
